timestamp,mode,keygen,sign,verify,znorm,lowbits,hintnorm,hintcount
2025-07-18 16:24:37,5,0.416,1.313,0.466,8,9,0,0
2025-07-18 16:24:39,5,0.397,1.559,0.468,18,12,0,0
2025-07-18 16:24:40,5,0.434,1.803,0.479,6,23,0,0
2025-07-18 16:24:42,5,0.391,1.100,0.443,4,8,0,0
2025-07-18 16:24:43,5,0.421,1.492,0.497,9,14,0,1
2025-07-18 16:24:44,5,0.404,1.397,0.451,9,14,0,0
2025-07-18 16:24:46,5,0.428,1.543,0.443,20,11,0,0
2025-07-18 16:24:47,5,0.406,1.496,0.442,13,14,0,0
2025-07-18 16:24:49,5,0.395,1.258,0.458,9,9,0,0
2025-07-18 16:24:50,5,0.404,1.598,0.478,10,16,0,0
2025-07-18 16:24:52,5,0.389,1.273,0.458,10,10,0,0
2025-07-18 16:24:53,5,0.436,1.319,0.462,5,15,0,0
2025-07-18 16:24:55,5,0.396,1.368,0.447,16,8,0,0
2025-07-18 16:24:56,5,0.506,1.980,0.597,15,17,0,1
2025-07-18 16:24:58,5,0.400,1.869,0.440,15,26,0,0
2025-07-18 16:24:59,5,0.393,1.314,0.448,7,13,0,0
2025-07-18 16:25:01,5,0.398,1.317,0.449,8,13,0,0
2025-07-18 16:25:02,5,0.388,1.383,0.707,10,13,0,0
2025-07-18 16:25:04,5,0.400,1.628,0.477,11,19,0,0
2025-07-18 16:25:05,5,0.394,1.245,0.447,8,10,0,0
2025-07-18 16:25:07,5,0.416,1.808,0.468,17,19,0,0
2025-07-18 16:25:08,5,0.382,1.495,0.443,13,15,0,0
2025-07-18 16:25:09,5,0.400,1.287,0.449,12,9,0,0
2025-07-18 16:25:11,5,0.447,1.731,0.452,16,20,0,0
2025-07-18 16:25:12,5,0.400,1.434,0.457,8,16,0,0
